Instance;Target Val;Orig BnB Val;Custom BnB Val;Target Dist;Orig BnB Dist;Custom BnB Dist;Orig BnB Count;Custom BnB Count;Target Path;Orig BnB Path;Custom BnB Path;
task1;0;0;0;20;20;20;4;4;[3, 1, 2];3 2 1;3 2 1
task2;2;2;2;22;22;22;4;4;[2, 1, 3];2 1 3;2 1 3
task3;4;4;4;273;266;273;89;76;[1, 3, 2, 4, 7, 6, 5, 8, 9, 10];1 2 3 4 8 7 6 10 5 9;1 2 3 4 8 7 6 5 10 9
task4;3;3;3;143;158;158;65;58;[1, 2, 3, 4, 5, 9, 10, 6, 7, 8];1 2 3 4 5 9 10 8 6 7;1 2 3 4 5 9 10 8 6 7
task5;4;4;4;144;133;133;41;34;[1, 4, 5, 2, 3, 7, 6, 8, 9, 10];1 4 5 2 3 7 6 10 8 9;1 4 5 2 3 7 6 10 8 9
task6;2;2;2;149;111;113;15;16;[1, 2, 4, 5, 9, 7, 8, 13, 11, 10, 14, 12, 15, 3, 6];1 2 3 5 4 6 7 8 9 13 12 10 11 14 15;5 1 2 3 4 6 7 8 9 13 10 11 12 14 15
task7;2;2;2;88;87;87;2770;3119;[1, 2, 4, 3, 5, 12, 13, 11, 10, 15, 14, 8, 9, 6, 7];1 2 4 5 3 12 13 11 10 15 14 8 9 6 7;1 2 4 5 3 12 13 11 10 15 14 8 9 6 7
